Date,Fund,Benchmark
2003/3/3,135.7813198,105.9708801
2003/3/5,134.7922779,104.9670279
2003/3/6,134.4625973,104.862562
2003/3/7,133.4500068,103.7575085
2003/3/10,131.5190203,101.9815879
2003/3/11,130.4122354,101.0740402
2003/3/12,131.660312,102.6867328
2003/3/13,131.8957982,102.4190389
2003/3/14,132.3667705,102.5969574
2003/3/17,131.8957982,101.6273831
2003/3/18,133.6148471,102.3570123
2003/3/19,134.1564653,102.4973884
2003/3/20,135.710674,103.1649909
2003/3/21,134.9571182,103.1878428
2003/3/24,135.3809933,103.3445417
2003/3/25,134.3684028,102.7781405
2003/3/26,134.9335696,103.3216897
2003/3/27,134.6980835,103.2972055
2003/3/28,134.4155001,103.6432489
2003/3/31,133.7325902,103.7673022
2003/4/1,132.4609649,102.3619091
2003/4/2,132.9554859,102.6655132
2003/4/3,133.3322637,102.5953252
2003/4/4,133.4029096,103.0001306
2003/4/7,135.216153,104.5230478
2003/4/8,134.8629238,104.4789762
2003/4/9,133.497104,103.5534735
2003/4/10,132.0841871,102.8205798
2003/4/11,132.1077357,102.7830373
2003/4/14,133.9209791,101.8885479
2003/4/15,132.88484,103.0246148
2003/4/16,133.3558124,103.4490076
2003/4/17,133.3087151,103.0572604
2003/4/18,133.7325902,103.7493471
2003/4/21,133.5206527,103.5355184
2003/4/22,133.4264582,103.3216897
2003/4/23,132.7435483,102.7716114
2003/4/24,134.0387222,101.9620005
2003/4/25,131.5425689,102.4631105
2003/4/28,130.9538535,101.8836511
2003/4/29,132.767097,102.5137112
2003/4/30,133.9680764,102.8940324
2003/5/2,133.4029096,102.3863933
2003/5/5,134.3919515,103.0637895
2003/5/6,134.5332432,103.1323453
2003/5/7,134.6509862,103.2057979
2003/5/8,134.2742084,102.9707495
2003/5/9,134.1564653,102.8564899
2003/5/12,134.6980835,103.4783886
2003/5/13,135.4516392,103.7770958
2003/5/16,136.1110004,103.8554453
2003/5/19,136.322938,103.924001
2003/5/20,136.2758407,103.9697049
2003/5/21,136.3935838,104.5263124
2003/5/22,137.8065008,104.833181
2003/5/23,140.4439458,106.2418386
2003/5/26,141.90396,107.0351267
2003/5/27,141.3623418,106.442609
2003/5/28,144.0939812,108.3833899
2003/5/29,144.6826966,109.6973753
2003/5/30,145.1772176,109.6010708
2003/6/2,145.4362524,109.6630974
2003/6/3,146.6136832,110.1087098
2003/6/4,146.0014191,109.8263254
2003/6/5,148.4504752,111.3916819
2003/6/6,148.1914404,111.2513058
2003/6/9,149.8398435,111.7148733
2003/6/10,149.7221005,111.3329198
2003/6/11,152.9718095,112.4004309
2003/6/12,153.5134276,112.6795508
2003/6/13,154.1963375,112.6175242
2003/6/16,152.5950316,111.5287934
2003/6/17,156.0095809,111.8209715
2003/6/18,155.821192,111.6087751
2003/6/19,153.3014901,111.2708932
2003/6/20,156.8808797,111.3933142
2003/6/23,156.8337825,111.7964873
2003/6/24,152.6421288,110.7877383
2003/6/25,154.0550458,111.3737268
2003/6/26,154.2434347,111.439018
2003/6/27,157.9876647,112.8639984
2003/6/30,157.9405674,112.9472447
2003/7/1,158.1289564,113.2116741
2003/7/2,160.9076931,114.7917211
2003/7/3,165.0522495,117.8391878
2003/7/4,166.4180692,118.3582528
2003/7/7,167.6896945,119.2217289
2003/7/8,167.8309862,118.6667537
2003/7/9,168.1606668,118.4496605
2003/7/10,169.4087434,118.1525855
2003/7/11,169.4793893,118.1607469
2003/7/14,171.6694106,118.6847088
2003/7/15,171.6223133,119.0568686
2003/7/16,170.7274659,118.2341995
2003/7/17,168.4667988,116.814116
2003/7/18,168.9613197,116.9561243
2003/7/21,169.5500351,117.4686602
2003/7/22,168.513896,116.3587098
2003/7/23,168.0900209,116.3603421
2003/7/24,167.7367917,115.9522721
2003/7/25,167.8780834,115.9783886
2003/7/28,167.2658194,115.6045965
2003/7/29,168.702285,116.1661008
2003/7/30,170.2800422,117.6400496
2003/7/31,171.6929592,117.6155654
2003/8/1,173.3475819,118.0187386
2003/8/4,173.6061167,118.0530165
2003/8/5,174.1490398,117.8881562
2003/8/6,173.890505,117.3462392
2003/8/7,174.0456258,117.4898799
2003/8/8,174.8987907,117.8848916
2003/8/11,175.8295159,118.639005
2003/8/12,176.7085343,118.2113476
2003/8/13,179.009494,118.2146122
2003/8/14,180.8192375,118.7418386
2003/8/15,180.6124097,118.913228
2003/8/18,182.7582485,118.9670932
2003/8/19,183.9992156,119.4943197
2003/8/20,184.2836038,119.5220684
